Chr	width	gene_id	gene_name	gene_type	type	GENEID
chr1	8061	ENSMUSG00000103708	Gm33222	lncRNA	gene	ENSMUSG00000103708
chr1	823	ENSMUSG00000104201	4930535G08Rik	lncRNA	gene	ENSMUSG00000104201
chr1	38047	ENSMUSG00000045216	Hs6st1	protein_coding	gene	ENSMUSG00000045216
chr1	1063	ENSMUSG00000104523	Gm37335	lncRNA	gene	ENSMUSG00000104523
chr1	6729	ENSMUSG00000102202	Gm33280	lncRNA	gene	ENSMUSG00000102202
chr1	104694	ENSMUSG00000037470	Uggt1	protein_coding	gene	ENSMUSG00000037470
chr1	10083	ENSMUSG00000047180	Neurl3	protein_coding	gene	ENSMUSG00000047180
chr1	16297	ENSMUSG00000037447	Arid5a	protein_coding	gene	ENSMUSG00000037447
chr1	713	ENSMUSG00000102762	4930403P22Rik	lncRNA	gene	ENSMUSG00000102762
chr1	33452	ENSMUSG00000010453	Kansl3	protein_coding	gene	ENSMUSG00000010453
chr1	49820	ENSMUSG00000037432	Fer1l5	protein_coding	gene	ENSMUSG00000037432
chr1	25401	ENSMUSG00000001143	Lman2l	protein_coding	gene	ENSMUSG00000001143
chr1	37145	ENSMUSG00000037408	Cnnm4	protein_coding	gene	ENSMUSG00000037408
chr1	16371	ENSMUSG00000001138	Cnnm3	protein_coding	gene	ENSMUSG00000001138
chr1	704	ENSMUSG00000102845	Gm38033	lncRNA	gene	ENSMUSG00000102845
chr1	6696	ENSMUSG00000067653	Ankrd23	protein_coding	gene	ENSMUSG00000067653
chr1	9939	ENSMUSG00000079610	Ankrd39	protein_coding	gene	ENSMUSG00000079610
chr1	9711	ENSMUSG00000026121	Sema4c	protein_coding	gene	ENSMUSG00000026121
chr1	7913	ENSMUSG00000087589	D430040D24Rik	lncRNA	gene	ENSMUSG00000087589
chr1	120492	ENSMUSG00000046337	Fam178b	protein_coding	gene	ENSMUSG00000046337
chr1	2233	ENSMUSG00000061518	Cox5b	protein_coding	gene	ENSMUSG00000061518
chr1	16309	ENSMUSG00000037351	Actr1b	protein_coding	gene	ENSMUSG00000037351
chr1	47805	ENSMUSG00000102416	4933424G06Rik	protein_coding	gene	ENSMUSG00000102416
chr1	5745	ENSMUSG00000104237	Gm33533	lncRNA	gene	ENSMUSG00000104237
chr1	21021	ENSMUSG00000026117	Zap70	protein_coding	gene	ENSMUSG00000026117
chr1	151476	ENSMUSG00000026116	Tmem131	protein_coding	gene	ENSMUSG00000026116
chr1	2939	ENSMUSG00000102930	Gm38115	lncRNA	gene	ENSMUSG00000102930
chr1	161018	ENSMUSG00000050122	Vwa3b	protein_coding	gene	ENSMUSG00000050122
chr1	992	ENSMUSG00000103603	Gm37020	lncRNA	gene	ENSMUSG00000103603
chr1	48951	ENSMUSG00000026114	Cnga3	protein_coding	gene	ENSMUSG00000026114
chr1	110872	ENSMUSG00000026113	Inpp4a	protein_coding	gene	ENSMUSG00000026113
chr1	4506	ENSMUSG00000086064	4930439A04Rik	lncRNA	gene	ENSMUSG00000086064
chr1	13020	ENSMUSG00000026112	Coa5	protein_coding	gene	ENSMUSG00000026112
chr1	8986	ENSMUSG00000026111	Unc50	protein_coding	gene	ENSMUSG00000026111
chr1	101677	ENSMUSG00000026110	Mgat4a	protein_coding	gene	ENSMUSG00000026110
chr1	108409	ENSMUSG00000026090	Cracdl	protein_coding	gene	ENSMUSG00000026090
chr1	1114	ENSMUSG00000089767	4930556I23Rik	lncRNA	gene	ENSMUSG00000089767
chr1	111654	ENSMUSG00000060771	Tsga10	protein_coding	gene	ENSMUSG00000060771
chr1	6090	ENSMUSG00000097268	Gm26805	lncRNA	gene	ENSMUSG00000097268
chr1	4491	ENSMUSG00000037216	Lipt1	protein_coding	gene	ENSMUSG00000037216
chr1	15611	ENSMUSG00000026088	Mitd1	protein_coding	gene	ENSMUSG00000026088
chr1	8059	ENSMUSG00000026087	Mrpl30	protein_coding	gene	ENSMUSG00000026087
chr1	10571	ENSMUSG00000061584	Lyg2	protein_coding	gene	ENSMUSG00000061584
chr1	20541	ENSMUSG00000087374	Gm15457	lncRNA	gene	ENSMUSG00000087374
chr1	11024	ENSMUSG00000026085	Lyg1	protein_coding	gene	ENSMUSG00000026085
chr1	12705	ENSMUSG00000058407	Txndc9	protein_coding	gene	ENSMUSG00000058407
chr1	57570	ENSMUSG00000026083	Eif5b	protein_coding	gene	ENSMUSG00000026083
chr1	77016	ENSMUSG00000026082	Rev1	protein_coding	gene	ENSMUSG00000026082
chr1	1011	ENSMUSG00000103804	Gm37062	lncRNA	gene	ENSMUSG00000103804
chr1	27810	ENSMUSG00000102716	Gm5099	lncRNA	gene	ENSMUSG00000102716
chr1	487630	ENSMUSG00000037138	Aff3	protein_coding	gene	ENSMUSG00000037138
chr1	11247	ENSMUSG00000085391	Gm16150	lncRNA	gene	ENSMUSG00000085391
chr1	4029	ENSMUSG00000085280	Gm16151	lncRNA	gene	ENSMUSG00000085280
chr1	9026	ENSMUSG00000087131	Gm16152	lncRNA	gene	ENSMUSG00000087131
chr1	43067	ENSMUSG00000048814	Lonrf2	protein_coding	gene	ENSMUSG00000048814
chr1	34295	ENSMUSG00000026080	Chst10	protein_coding	gene	ENSMUSG00000026080
chr1	3319	ENSMUSG00000103647	Gm37707	lncRNA	gene	ENSMUSG00000103647
chr1	11128	ENSMUSG00000067604	Nms	protein_coding	gene	ENSMUSG00000067604
chr1	11631	ENSMUSG00000026078	Pdcl3	protein_coding	gene	ENSMUSG00000026078
chr1	8990	ENSMUSG00000104188	Gm37821	lncRNA	gene	ENSMUSG00000104188
chr1	169506	ENSMUSG00000026077	Npas2	protein_coding	gene	ENSMUSG00000026077
chr1	4070	ENSMUSG00000073702	Rpl31	protein_coding	gene	ENSMUSG00000073702
chr1	107264	ENSMUSG00000003134	Tbc1d8	protein_coding	gene	ENSMUSG00000003134
chr1	11898	ENSMUSG00000003135	Cnot11	protein_coding	gene	ENSMUSG00000003135
chr1	4433	ENSMUSG00000085894	Gm15832	lncRNA	gene	ENSMUSG00000085894
chr1	26110	ENSMUSG00000048234	Rnf149	protein_coding	gene	ENSMUSG00000048234
chr1	33069	ENSMUSG00000050967	Creg2	protein_coding	gene	ENSMUSG00000050967
chr1	7207	ENSMUSG00000097083	D930019O06Rik	lncRNA	gene	ENSMUSG00000097083
chr1	55697	ENSMUSG00000057173	Rfx8	protein_coding	gene	ENSMUSG00000057173
chr1	1185	ENSMUSG00000091937	Gm3646	lncRNA	gene	ENSMUSG00000091937
chr1	8160	ENSMUSG00000101634	1700066B17Rik	lncRNA	gene	ENSMUSG00000101634
chr1	125398	ENSMUSG00000026074	Map4k4	protein_coding	gene	ENSMUSG00000026074
chr1	51153	ENSMUSG00000026073	Il1r2	protein_coding	gene	ENSMUSG00000026073
chr1	9624	ENSMUSG00000097899	Gm16894	lncRNA	gene	ENSMUSG00000097899
chr1	92178	ENSMUSG00000026072	Il1r1	protein_coding	gene	ENSMUSG00000026072
chr1	42953	ENSMUSG00000070942	Il1rl2	protein_coding	gene	ENSMUSG00000070942
chr1	35846	ENSMUSG00000026069	Il1rl1	protein_coding	gene	ENSMUSG00000026069
chr1	35303	ENSMUSG00000026070	Il18r1	protein_coding	gene	ENSMUSG00000026070
chr1	36344	ENSMUSG00000026068	Il18rap	protein_coding	gene	ENSMUSG00000026068
chr1	8475	ENSMUSG00000104441	Gm35801	lncRNA	gene	ENSMUSG00000104441
chr1	50645	ENSMUSG00000026065	Slc9a4	protein_coding	gene	ENSMUSG00000026065
chr1	88700	ENSMUSG00000026062	Slc9a2	protein_coding	gene	ENSMUSG00000026062
chr1	6195	ENSMUSG00000103679	Gm37623	lncRNA	gene	ENSMUSG00000103679
chr1	13994	ENSMUSG00000103270	Gm37915	lncRNA	gene	ENSMUSG00000103270
chr1	18650	ENSMUSG00000041945	Mfsd9	protein_coding	gene	ENSMUSG00000041945
chr1	51287	ENSMUSG00000079588	Tmem182	protein_coding	gene	ENSMUSG00000079588
chr1	13666	ENSMUSG00000104072	4930448I06Rik	lncRNA	gene	ENSMUSG00000104072
chr1	2613	ENSMUSG00000100185	Gm28634	lncRNA	gene	ENSMUSG00000100185
chr1	195902	ENSMUSG00000100832	Gm29260	lncRNA	gene	ENSMUSG00000100832
chr1	1383	ENSMUSG00000053640	Gm9915	lncRNA	gene	ENSMUSG00000053640
chr1	463	ENSMUSG00000101919	Gm29664	lncRNA	gene	ENSMUSG00000101919
chr1	44664	ENSMUSG00000101299	Gm28175	lncRNA	gene	ENSMUSG00000101299
chr1	31348	ENSMUSG00000100180	Gm28140	lncRNA	gene	ENSMUSG00000100180
chr1	104831	ENSMUSG00000060424	Pantr1	lncRNA	gene	ENSMUSG00000060424
chr1	437	ENSMUSG00000121019	Gm57163	lncRNA	gene	ENSMUSG00000121019
chr1	8252	ENSMUSG00000045515	Pou3f3	protein_coding	gene	ENSMUSG00000045515
chr1	49867	ENSMUSG00000093436	Gm20646	lncRNA	gene	ENSMUSG00000093436
chr1	6735	ENSMUSG00000097063	Pantr2	lncRNA	gene	ENSMUSG00000097063
chr1	2170	ENSMUSG00000099784	Dalir	lncRNA	gene	ENSMUSG00000099784
chr1	54451	ENSMUSG00000060679	Mrps9	protein_coding	gene	ENSMUSG00000060679
chr1	82585	ENSMUSG00000041907	Gpr45	protein_coding	gene	ENSMUSG00000041907
chr1	51438	ENSMUSG00000070939	Tgfbrap1	protein_coding	gene	ENSMUSG00000070939
chr1	868	ENSMUSG00000100269	Gm28782	lncRNA	gene	ENSMUSG00000100269
chr1	1248	ENSMUSG00000041878	8430432A02Rik	lncRNA	gene	ENSMUSG00000041878
chr1	17238	ENSMUSG00000010290	AI597479	protein_coding	gene	ENSMUSG00000010290
chr1	73911	ENSMUSG00000008136	Fhl2	protein_coding	gene	ENSMUSG00000008136
chr1	70472	ENSMUSG00000120601	Gm30307	lncRNA	gene	ENSMUSG00000120601
chr1	52770	ENSMUSG00000099576	Gm29040	lncRNA	gene	ENSMUSG00000099576
chr1	125937	ENSMUSG00000066877	Nck2	protein_coding	gene	ENSMUSG00000066877
chr1	11977	ENSMUSG00000026051	Ecrg4	protein_coding	gene	ENSMUSG00000026051
chr1	1935	ENSMUSG00000100764	Gm29155	lncRNA	gene	ENSMUSG00000100764
chr1	612	ENSMUSG00000100635	Gm29157	lncRNA	gene	ENSMUSG00000100635
chr1	499	ENSMUSG00000100480	Gm29156	lncRNA	gene	ENSMUSG00000100480
chr1	80835	ENSMUSG00000057363	Uxs1	protein_coding	gene	ENSMUSG00000057363
chr1	1329	ENSMUSG00000120105	Gm57117	lncRNA	gene	ENSMUSG00000120105
chr1	69354	ENSMUSG00000041763	Tpp2	protein_coding	gene	ENSMUSG00000041763
chr1	10627	ENSMUSG00000047343	Mettl21c	protein_coding	gene	ENSMUSG00000047343
chr1	23875	ENSMUSG00000091844	Gm8251	protein_coding	gene	ENSMUSG00000091844
chr1	15829	ENSMUSG00000026049	Tex30	protein_coding	gene	ENSMUSG00000026049
chr1	12263	ENSMUSG00000026047	Poglut2	protein_coding	gene	ENSMUSG00000026047
chr1	25814	ENSMUSG00000041684	Bivm	protein_coding	gene	ENSMUSG00000041684
